event_date,move_bps,direction,phase,sector,ticker,sector_return,benchmark_return,alpha,max_drawdown
2018-09-27,25.0,Hike,Pre-45D,Communication Services,XLC,-0.04819326379168121,0.028153614116736003,-0.07634687790841721,-0.08164473916163151
2018-09-27,25.0,Hike,Post-45D,Communication Services,XLC,-0.08479040793138692,-0.05173919606024446,-0.03305121187114246,-0.12789750186106708
2018-09-27,25.0,Hike,Pre-45D,Consumer Discretionary,XLY,0.04577528324782265,0.028153614116736003,0.017621669131086648,-0.01610419240042127
2018-09-27,25.0,Hike,Post-45D,Consumer Discretionary,XLY,-0.07952581077242116,-0.05173919606024446,-0.027786614712176694,-0.13552663998933467
2018-09-27,25.0,Hike,Pre-45D,Consumer Staples,XLP,0.022635355835601834,0.028153614116736003,-0.00551825828113417,-0.023809405925803384
2018-09-27,25.0,Hike,Post-45D,Consumer Staples,XLP,0.044754106992965115,-0.05173919606024446,0.09649330305320958,-0.039071011317444726
2018-09-27,25.0,Hike,Pre-45D,Energy,XLE,0.004495456961994826,0.028153614116736003,-0.023658157154741177,-0.06924661239384156
2018-09-27,25.0,Hike,Post-45D,Energy,XLE,-0.12955884648075355,-0.05173919606024446,-0.07781965042050909,-0.17842905176828883
2018-09-27,25.0,Hike,Pre-45D,Financials,XLF,-0.003075262760914632,0.028153614116736003,-0.031228876877650635,-0.03403574670863474
2018-09-27,25.0,Hike,Post-45D,Financials,XLF,-0.03229310988135892,-0.05173919606024446,0.019446086178885547,-0.10464702423927763
2018-09-27,25.0,Hike,Pre-45D,Health Care,XLV,0.07180425198333729,0.028153614116736003,0.04365063786660128,-0.010016439883571149
2018-09-27,25.0,Hike,Post-45D,Health Care,XLV,0.010647066144719997,-0.05173919606024446,0.06238626220496446,-0.08711572488812303
2018-09-27,25.0,Hike,Pre-45D,Industrials,XLI,0.04520064586680417,0.028153614116736003,0.017047031750068165,-0.028731111079710048
2018-09-27,25.0,Hike,Post-45D,Industrials,XLI,-0.07533476849141174,-0.05173919606024446,-0.023595572431167278,-0.1463569138694628
2018-09-27,25.0,Hike,Pre-45D,Materials,XLB,-0.010178963741597324,0.028153614116736003,-0.03833257785833333,-0.03939638104901988
2018-09-27,25.0,Hike,Post-45D,Materials,XLB,-0.06329319114923593,-0.05173919606024446,-0.011553995088991464,-0.14040177235734097
2018-09-27,25.0,Hike,Pre-45D,Real Estate,XLRE,-0.0027551981912228296,0.028153614116736003,-0.030908812307958833,-0.04449271586375314
2018-09-27,25.0,Hike,Post-45D,Real Estate,XLRE,0.050915756411757274,-0.05173919606024446,0.10265495247200174,-0.05519785562092672
2018-09-27,25.0,Hike,Pre-45D,Technology,XLK,0.014338834541740786,0.028153614116736003,-0.013814779574995217,-0.04727882935376515
2018-09-27,25.0,Hike,Post-45D,Technology,XLK,-0.09473688515293743,-0.05173919606024446,-0.04299768909269297,-0.15606454350775556
2018-09-27,25.0,Hike,Pre-45D,Utilities,XLU,0.002038108980336739,0.028153614116736003,-0.026115505136399264,-0.05382990182525438
2018-09-27,25.0,Hike,Post-45D,Utilities,XLU,0.07130500880356339,-0.05173919606024446,0.12304420486380785,-0.03766073089986277
2018-12-20,25.0,Hike,Pre-45D,Communication Services,XLC,-0.1290868747917029,-0.11850908257145565,-0.01057779222024724,-0.1325633001353811
2018-12-20,25.0,Hike,Post-45D,Communication Services,XLC,0.11502603143725953,0.13618313822628925,-0.02115710678902971,-0.05311480433717841
2018-12-20,25.0,Hike,Pre-45D,Consumer Discretionary,XLY,-0.12762664888061037,-0.11850908257145565,-0.009117566309154723,-0.13677496123005173
2018-12-20,25.0,Hike,Post-45D,Consumer Discretionary,XLY,0.15506464321561886,0.13618313822628925,0.01888150498932961,-0.04121597521319231
2018-12-20,25.0,Hike,Pre-45D,Consumer Staples,XLP,-0.03978224327340829,-0.11850908257145565,0.07872683929804736,-0.09943695541419362
2018-12-20,25.0,Hike,Post-45D,Consumer Staples,XLP,0.0665405307660647,0.13618313822628925,-0.06964260746022455,-0.03896966795858903
2018-12-20,25.0,Hike,Pre-45D,Energy,XLE,-0.21646775313828792,-0.11850908257145565,-0.09795867056683227,-0.21646775313828792
2018-12-20,25.0,Hike,Post-45D,Energy,XLE,0.163254276853098,0.13618313822628925,0.027071138626808766,-0.049771016753460184
2018-12-20,25.0,Hike,Pre-45D,Financials,XLF,-0.12523373241722602,-0.11850908257145565,-0.00672464984577037,-0.14504956816385906
2018-12-20,25.0,Hike,Post-45D,Financials,XLF,0.14341011477736854,0.13618313822628925,0.007226976551079289,-0.040636283667308204
2018-12-20,25.0,Hike,Pre-45D,Health Care,XLV,-0.09492070406400244,-0.11850908257145565,0.02358837850745321,-0.1227703888841184
2018-12-20,25.0,Hike,Post-45D,Health Care,XLV,0.09794589529761843,0.13618313822628925,-0.03823724292867081,-0.03607272410702944
2018-12-20,25.0,Hike,Pre-45D,Industrials,XLI,-0.152078748586719,-0.11850908257145565,-0.033569666015263344,-0.152078748586719
2018-12-20,25.0,Hike,Post-45D,Industrials,XLI,0.2072876422362646,0.13618313822628925,0.07110450400997537,-0.04898494551828858
2018-12-20,25.0,Hike,Pre-45D,Materials,XLB,-0.09331349055841931,-0.11850908257145565,0.02519559201303634,-0.11857118227156227
2018-12-20,25.0,Hike,Post-45D,Materials,XLB,0.13639590934478663,0.13618313822628925,0.00021277111849737906,-0.03468535783687121
2018-12-20,25.0,Hike,Pre-45D,Real Estate,XLRE,0.006966396176786294,-0.11850908257145565,0.12547547874824194,-0.07772614909473208
2018-12-20,25.0,Hike,Post-45D,Real Estate,XLRE,0.10114230011252356,0.13618313822628925,-0.03504083811376568,-0.05157314672082447
2018-12-20,25.0,Hike,Pre-45D,Technology,XLK,-0.14560387209443815,-0.11850908257145565,-0.0270947895229825,-0.14560387209443815
2018-12-20,25.0,Hike,Post-45D,Technology,XLK,0.1638686124323554,0.13618313822628925,0.027685474206066152,-0.05626070738496658
2018-12-20,25.0,Hike,Pre-45D,Utilities,XLU,0.01395361098406056,-0.11850908257145565,0.1324626935555162,-0.042683901413563485
2018-12-20,25.0,Hike,Post-45D,Utilities,XLU,0.04883343225845693,0.13618313822628925,-0.08734970596783231,-0.045909717324111976
2019-08-01,-25.0,Cut,Pre-45D,Communication Services,XLC,0.06163522432259905,0.0646997956387223,-0.0030645713161232546,-0.046414553004154535
2019-08-01,-25.0,Cut,Post-45D,Communication Services,XLC,-0.02007845782925921,0.0029484601482210326,-0.023026917977480243,-0.05814301522227827
2019-08-01,-25.0,Cut,Pre-45D,Consumer Discretionary,XLY,0.06993708930221154,0.0646997956387223,0.00523729366348924,-0.0433804646489101
2019-08-01,-25.0,Cut,Post-45D,Consumer Discretionary,XLY,0.004496968300050641,0.0029484601482210326,0.0015485081518296084,-0.04641462761004367
2019-08-01,-25.0,Cut,Pre-45D,Consumer Staples,XLP,0.062335217466302106,0.0646997956387223,-0.0023645781724201953,-0.023738933767439963
2019-08-01,-25.0,Cut,Post-45D,Consumer Staples,XLP,0.04294573842845595,0.0029484601482210326,0.039997278280234916,-0.02600045284344088
2019-08-01,-25.0,Cut,Pre-45D,Energy,XLE,0.02061980295929433,0.0646997956387223,-0.04407999267942797,-0.0490378726822811
2019-08-01,-25.0,Cut,Post-45D,Energy,XLE,-0.05507858529190779,0.0029484601482210326,-0.05802704544012882,-0.09827492494015067
2019-08-01,-25.0,Cut,Pre-45D,Financials,XLF,0.04719576625670707,0.0646997956387223,-0.01750402938201523,-0.03764375286894106
2019-08-01,-25.0,Cut,Post-45D,Financials,XLF,-0.00036274169636940634,0.0029484601482210326,-0.003311201844590439,-0.05903681918452397
2019-08-01,-25.0,Cut,Pre-45D,Health Care,XLV,0.04825982827663178,0.0646997956387223,-0.016439967362090524,-0.0345342710011477
2019-08-01,-25.0,Cut,Post-45D,Health Care,XLV,-0.008279870551571422,0.0029484601482210326,-0.011228330699792455,-0.044021889973883455
2019-08-01,-25.0,Cut,Pre-45D,Industrials,XLI,0.053206727979530966,0.0646997956387223,-0.011493067659191336,-0.03196779448539
2019-08-01,-25.0,Cut,Post-45D,Industrials,XLI,-0.003922098486143444,0.0029484601482210326,-0.0068705586343644764,-0.05817297684729161
2019-08-01,-25.0,Cut,Pre-45D,Materials,XLB,0.09569909297061518,0.0646997956387223,0.030999297331892883,-0.027707287690713733
2019-08-01,-25.0,Cut,Post-45D,Materials,XLB,-0.024424862944909087,0.0029484601482210326,-0.02737332309313012,-0.05567995687420957
2019-08-01,-25.0,Cut,Pre-45D,Real Estate,XLRE,0.05139005942418451,0.0646997956387223,-0.013309736214537793,-0.048354889117972255
2019-08-01,-25.0,Cut,Post-45D,Real Estate,XLRE,0.05770017783379555,0.0029484601482210326,0.05475171768557452,-0.03765591392974865
2019-08-01,-25.0,Cut,Pre-45D,Technology,XLK,0.10988093792767906,0.0646997956387223,0.045181142288956755,-0.0339216202150906
2019-08-01,-25.0,Cut,Post-45D,Technology,XLK,0.005487221161694977,0.0029484601482210326,0.0025387610134739447,-0.05736708066175822
2019-08-01,-25.0,Cut,Pre-45D,Utilities,XLU,0.04426114861086705,0.0646997956387223,-0.02043864702785525,-0.027913572787512275
2019-08-01,-25.0,Cut,Post-45D,Utilities,XLU,0.0849551975588021,0.0029484601482210326,0.08200673741058107,-0.01960791551196428
2019-09-19,-25.0,Cut,Pre-45D,Communication Services,XLC,0.00967428238123369,0.011217783591244368,-0.0015435012100106782,-0.07385935952043599
2019-09-19,-25.0,Cut,Post-45D,Communication Services,XLC,0.019580239921151765,0.03528222341138232,-0.015701983490230553,-0.05372295726488108
2019-09-19,-25.0,Cut,Pre-45D,Consumer Discretionary,XLY,-0.007634349189397316,0.011217783591244368,-0.018852132780641684,-0.0734962005865002
2019-09-19,-25.0,Cut,Post-45D,Consumer Discretionary,XLY,-0.018852602920498618,0.03528222341138232,-0.054134826331880936,-0.03560315705781858
2019-09-19,-25.0,Cut,Pre-45D,Consumer Staples,XLP,0.015854433550113622,0.011217783591244368,0.0046366499588692545,-0.048961687192888736
2019-09-19,-25.0,Cut,Post-45D,Consumer Staples,XLP,0.014674824451111457,0.03528222341138232,-0.020607398960270862,-0.022630793575813768
2019-09-19,-25.0,Cut,Pre-45D,Energy,XLE,-0.010726876891741788,0.011217783591244368,-0.021944660482986156,-0.12033380016116269
2019-09-19,-25.0,Cut,Post-45D,Energy,XLE,-0.019598356535751593,0.03528222341138232,-0.05488057994713391,-0.08809114574831134
2019-09-19,-25.0,Cut,Pre-45D,Financials,XLF,0.019389696954987823,0.011217783591244368,0.008171913363743455,-0.09445820462191445
